Table
ACTIVOS ,Holding ,Banorte ,Ahorroy Previsión ,Arrendadoray Factor ,Almacenadora ,Casa de Bolsa Banorte 
Disponibilidades ,8 ,"115,954 ",116 ,106 ,1 ,"3,752 "
Cuentas de Margen ,- ,"11,012 ",- ,- ,- ,- 
Inversiones en Valores ,- ,"222,139 ","203,500 ",- ,- ,"278,982 "
Títulos para negociar ,- ,"39,609 ","35,503 ",- ,- ,"184,918 "
Títulos Disponibles para la venta ,- ,"142,487 ",655 ,- ,- ,"93,244 "
Títulos Conservados a vencimiento ,- ,"40,044 ","167,342 ",- ,- ,820 
Deudores por reporto (saldo deudor) ,"13,107 ","2,848 ","6,356 ",- ,- ,- 
Derivados con fines de negociación ,- ,"28,458 ",- ,- ,- ,- 
Derivados con fines de cobertura ,- ,609 ,- ,- ,- ,- 
Ajustes de valuación por cobertura de activos ,- ,51 ,- ,- ,- ,- 
Cartera de Crédito Total ,- ,"774,867 ",- ,"33,583 ",- ,- 
Cartera de Crédito Neto ,- ,"773,339 ",- ,"33,583 ",- ,- 
Cartera de Crédito Vigente ,- ,"782,226 ",- ,"33,757 ",- ,- 
Créditos Comerciales ,- ,"295,257 ",- ,"29,111 ",- ,- 
Créditos a Entidades Financieras ,- ,"22,723 ",- ,708 ,- ,- 
Créditos a Entidades Gubernamentales ,- ,"156,941 ",- ,"3,932 ",- ,- 
Créditos al Consumo ,- ,"116,085 ",- ,6 ,- ,- 
Créditos a la Vivienda ,- ,"191,220 ",- ,- ,- ,- 
Media y Residencial ,- ,"188,529 ",- ,- ,- ,- 
De interés social ,- ,4 ,- ,- ,- ,- 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,- ,"2,687 ",- ,- ,- ,- 
Cartera de Crédito Vencida ,- ,"10,257 ",- ,350 ,- ,- 
Créditos Comerciales ,- ,"3,303 ",- ,346 ,- ,- 
Créditos a Entidades Financieras ,- ,- ,- ,- ,- ,- 
Créditos a Entidades Gubernamentales ,- ,188 ,- ,4 ,- ,- 
Créditos al Consumo ,- ,"4,694 ",- ,0 ,- ,- 
Créditos a la Vivienda ,- ,"2,071 ",- ,- ,- ,- 
Media y Residencial ,- ,"1,819 ",- ,- ,- ,- 
De interés social ,- ,0 ,- ,- ,- ,- 
Créditos adquiridos al INFONAVIT o FOVISSSTE ,- ,252 ,- ,- ,- ,- 
Prov. Prev. Riesgos Crediticios ,- ,"19,145 ",- ,525 ,- ,- 
Derechos de cobro adquiridos ,- ,"1,529 ",- ,- ,- ,- 
Cuentas por cobrar de Instituciones de Seguros y Pensiones ,- ,- ,"3,157 ",- ,- ,- 
Deudores por Prima (Neto) ,- ,- ,"11,144 ",- ,- ,- 
Ctas por cobrar a reaseguradores y reafianzadores ,- ,- ,"7,521 ",- ,- ,- 
Beneficios por recibir en operaciones de reporto ,- ,2 ,- ,- ,- ,- 
"Otras Cuentas por cobrar, neto ",17 ,"35,643 ",3 ,931 ,121 ,"1,248 "
Inventario de Mercancías ,- ,- ,- ,- ,832 ,- 
Bienes Adjudicados ,- ,"1,406 ",- ,146 ,- ,- 
"Inmueb., Mobiliario y equipo, neto ",- ,"28,638 ",426 ,"3,414 ",55 ,64 
Inversiones permanentes ,"187,911 ",552 ,"12,785 ",63 ,- ,2 
Activos de larga duración disponibles para la venta ,- ,- ,- ,- ,- ,- 
"Impuestos diferidos, neto ",122 ,422 ,- ,"1,038 ",5 ,- 
Total Otros activos ,"26,116 ","11,419 ","2,235 ","5,130 ",18 ,225 
Crédito Mercantil ,"25,329 ","1,402 ",- ,- ,- ,- 
Intangibles ,787 ,"9,809 ","2,139 ",320 ,2 ,37 
Otros activos ,- ,208 ,96 ,"4,810 ",16 ,188 
TOTAL ACTIVOS ,"227,280 ","1,234,021 ","247,243 ","44,410 ","1,033 ","284,273 "


