Table
Seguros Banorte - Balance General (Millones de Pesos) ,1T20 ,2T20 ,3T20 ,4T20 ,1T21 
PASIVOS ,,,,,
Reservas Técnicas ,"28,696 ","31,526 ","30,257 ","29,897 ","36,094 "
Total de Op. con Valores y Derivados ,- ,- ,- ,- ,- 
Ajustes de valuación por cobertura de pasivos financieros ,- ,- ,- ,- ,- 
Obligaciones en operaciones de bursatilización ,- ,- ,- ,- ,- 
Cuentas por pagar a Reaseguradores y Reafianzadores (Neto) ,"2,311 ","3,159 ","2,918 ","2,269 ","3,145 "
Impuestos a la Utilidad por pagar ,754 ,"1,146 ","1,460 ","1,675 ",368 
Participación de los trabajadores en la utili. ,- ,- ,- ,- ,- 
Aport. para futuros aumentos de capital pendientes de ,,,- ,,
formalizar por su órgano de gobierno ,- ,- ,,- ,- 
Acreedores por liquidación de operaciones ,- ,- ,- ,- ,- 
Acreedores por cuentas de margen ,- ,- ,- ,- ,- 
Acreedores Diver. y otras ctas. p/pagar ,"2,800 ","2,834 ","2,713 ","2,475 ","2,624 "
Otras cuentas por pagar ,"3,554 ","3,980 ","4,173 ","4,150 ","2,992 "
Obligaciones subordinadas en circulación ,- ,- ,- ,- ,- 
Impuestos diferidos (Neto) ,354 ,351 ,347 ,343 ,340 
Créditos diferidos y Cobros Anticipados ,61 ,56 ,57 ,53 ,56 
TOTAL PASIVOS ,"34,977 ","39,072 ","37,752 ","36,712 ","42,627 "
CAPITAL ,,,,,
Capital Social ,"13,928 ","13,928 ","13,928 ","13,928 ","13,928 "
Aport. para futuros aumentos de capital pendientes de formalizar por su órgano de gobierno ,- ,- ,- ,- ,- 
Prima en venta de acciones ,- ,- ,- ,- ,- 
Obligaciones subordinadas en circulación ,- ,- ,- ,- ,- 
Capital contribuido ,"13,928 ","13,928 ","13,928 ","13,928 ","13,928 "
Reservas de capital ,"2,716 ","3,268 ","3,268 ","3,268 ","3,268 "
Resultado de ejercicios anteriores ,"5,600 ","5,047 ","5,047 ","5,046 ","10,765 "
Res. por valuación de títulos disponibles para la venta ,107 ,172 ,175 ,196 ,164 
Res. por valuación de instrumentos de cobertura de flujos de efectivo ,- ,- ,- ,- ,- 
Resultado en la valuación de la reserva de riesgo en curso ,2 ,(182) ,(188) ,(229) ,(108) 
por variaciones en las tasas ,,,,,
Efecto acumulado por conversión ,0 ,0 ,0 ,0 ,0 
Remediciones por beneficios definidos a los empleados ,12 ,12 ,12 ,10 ,10 
Exceso (insuf.) en la actualiz. del Cap. Cont. ,- ,- ,- ,- ,- 
Ajustes por obligaciones laborales al retiro ,- ,- ,- ,- ,- 
Efecto acumulado de impuesto diferido ,- ,- ,- ,- ,- 
Resultado neto ,"2,029 ","3,573 ","4,773 ","5,719 ","1,254 "
Capital Ganado ,"10,466 ","11,890 ","13,087 ","14,011 ","15,354 "
Participación no controladora ,352 ,366 ,376 ,386 ,395 
Total Capital Contable ,"24,746 ","26,184 ","27,391 ","28,325 ","29,677 "
TOTAL PASIVOS Y CAPITAL ,"59,723 ","65,256 ","65,143 ","65,038 ","72,304 "


