Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Cartera de crédito vencida Millones de pesos ",3M 2020 ,12M 2020 ,3M 2021 ,% Var Trim ,Var Anual 
Actividad Empresarial ,"10,082 ","11,983 ","12,131 ",1.2 ,20.3 
Entidades Financieras ,O ,O ,O ,O ,O 
Entidades Gubernamentales ,O ,O ,O ,O ,O 
Créditos Comerciales ,"10,082 ","11,983 ","12,131 ",1.2 ,20.3 
Créditos de Consumo ,"10,843 ","16,147 ","11,614 ",(28.1) ,7.1 
Créditos a la Vivienda ,"8,191 ","9,354 ","9,235 ",(1.3) ,12.7 
Crédito Vencido Total ,"29,116 ","37,484 ","32,980 ",(12.0) ,13.3 


