Table
Casa de Bolsa BBVA Bancomer S.A. de C.V. Activos en Riesgo Marzo 2021 Millones de pesos ,Activos Ponderados por Riesgo ,Capital Requerido 
Activos en Riesgo Crédito ,100 ,8 
Grupo Il (ponderados al 20%) ,37 ,3 
Grupo III (ponderados al 100%) ,63 ,5 
Activos en Riesgo Mercado ,160 ,13 
Operaciones en moneda nacional con tasa nominal ,14 ,1 
Posiciones en acciones O con rendimiento indizado al precio de una acción O grupo de acciones ,146 ,12 
Total con Riesgo Crédito y Mercado ,260 ,21 


Table
Casa de Bolsa BBVA Bancomer S.A. de C.V. Capitalización estimada Millones de pesos ,Marzo 2020 ,,Diciembre 2020 ,,Marzo 2021 ,
Capital Básico ,,617 ,,948 ,,"1,061 "
Capital Neto ,,617 ,,948 ,,"1,061 "
,Riesgo ,Riesgo ,Riesgo ,Riesgo ,Riesgo ,Riesgo 
,Crédito ,Crédito y Mdo. ,Crédito ,Crédito y Mdo. ,Crédito ,Crédito y Mdo. 
Activos en Riesgo ,88 ,196 ,85 ,230 ,100 ,260 
Capital Básico como % de los Activos en Riesgo ,701.1% ,314.8% ,1115.3% ,412.2% ,1061.0% ,408.1% 
Índice de Capitalización Total Estimado ,701.1% ,314.8% ,1115.3% ,412.2% ,1061.0% ,408.1% 


Table
Capital Básico ,"1,061 "
Capital contable ,"1,062 "
Deducción de inversiones en acciones no financieras ,(1) 
Capital Neto ,"1,061 "


