Table
,Capital ,Contribuido ,,,,Capital Ganado ,,,,,
,Capital social ,Prima en venta de acciones ,Reservas de capital ,Resultado de ejercicios anteriores ,Resultado por valuación de títulos disponibles para la venta ,Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,Efecto acumulado por conversión ,Remediciones por beneficios definidos a los empleados ,Resultado neto ,Participación no controladora ,Total Capital Contable 
Saldos al 31 de Diciembre de 2020 ,"9,799 ","79,333 ",204 ,"145,650 ","2,879 ",(96) ,440 ,"(9,544) ","42,860 ",39 ,"271,564 "
MOVIMIENTOS INHERENTES ALAS DECISIONES DE LOS PROPIETARIOS.- ,,,,,,,,,,,
Traspaso del resultado neto a resultado de ejercicios anteriores ,,,,"42,860 ",,,,,"(42,860) ",,0 
Total ,o ,o ,o ,"42,860 ",o ,o ,o ,o ,"(42,860) ",o ,o 
MOVIMIENTOS INHERENTES AL RECONOCIMIENTO DE LA UTILIDAD INTEGRAL. ,,,,,,,,,,,
Resultado neto ,,,,,,,,,"11,087 ",,"11,087 "
Resultado por valaluación de títulos disponibles para la venta ,,,,,"(5,001) ",,,,,,"(5,001) "
Resultado por valuación de instrumentos de cobertura de flujos de efectivo ,,,,,,(334) ,,,,,(334) 
Remediciones por beneficios definidos a los empleados ,,,,,,,,345 ,,,345 
Total ,o ,o ,o ,o ,"(5,001) ",(334) ,o ,345 ,"11,087 ",o ,"6,097 "
Saldo al 31 de Marzo de 2021 ,"9,799 ","79,333 ",204 ,"188,510 ","(2,122) ",(430) ,440 ,"(9,199) ","11,087 ",39 ,"277,661 "


