Table
Rubro Millones de pesos ,A la vista ,30 días ,6 meses ,1 año ,Mayor 1 año ,Sin Vencimiento ,Total 
Disponible ,"221,078 ",O ,O ,0 ,"33,956 ",0 ,"255,034 "
Cartera de Crédito ,O ,"90,833 ","178,741 ","97,960 ","858,470 ",0 ,"1,226,005 "
Cartera de Valores ,O ,"1,128 ","50,538 ","54,665 ","472,638 ",0 ,"578,970 "
ACTIVOS TOTALES ,"221,078 ","91,961 ","229,280 ","152,625 ","1,365,064 ",o ,"2,060,009 "
Captación ,O ,"177,627 ","59,298 ","1,576 ",51 ,"1,120,157 ","1,358,709 "
Emisiones y Obligac. Sub. ,O ,"3,802 ","10,520 ","3,088 ","144,723 ",0 ,"162,133 "
Acreedores por Reportos ,O ,"248,787 ",1781 ,800 ,5937 ,O ,"257,305 "
Neto resto de Balance ,O ,O ,O ,O ,0 ,"281,862 ","281,862 "
PASIVOS TOTALES ,o ,"430,216 ","71,599 ","5,464 ","150,711 ","1,402,019 ","2,060,009 "
FUERA DE BALANCE ,o ,(242) ,"(1,471) ","(8,248) ","5,003 ",o ,"(4,958) "
BRECHAS DE LIQUIDEZ ,"221,078 ","(338,497) ","156,210 ","138,914 ","1,219,357 ","(1,402,019) ","(4,958) "
BRECHAS ACUMULADAS ,"221,078 ","(117,419) ","38,791 ","177,704 ","1,397,061 ","(4,958) ",


