Table
Captación y Tasas Tasas deinteréspromedio en % ,1T 2020 ,4T 2020 ,1T 2021 ,pbs Var Trim ,Var Anual 
Moneda nacional ,,,,,
Captación ,2.60 ,1.41 ,1.22 ,(19) ,(138) 
Depósitos de exigibilidad inmediata ,1.48 ,0.77 ,0.66 ,(11) ,(82) 
Depósitos a plazo ,5.88 ,3.54 ,3.24 ,(30) ,(264) 
Préstamos interbancarios y de otros organismos ,7.63 ,5.62 ,5.18 ,(44) ,(245) 
Call money ,6.87 ,4.18 ,3.95 ,(23) ,(292) 
Préstamos de Banco de México ,7.38 ,5.51 ,4.07 ,(144) ,(331) 
Financiamiento de los fondos de fomento ,7.88 ,5.70 ,5.39 ,(31) ,(249) 
Financiamiento de otros organismos ,11.57 ,9.70 ,11.01 ,131 ,(56) 
Captación total moneda nacional ,2.69 ,1.46 ,1.28 ,(18) ,(141) 
,,,,,
Moneda extranjera ,,,,,
Captación ,0.12 ,0.03 ,0.02 ,(1) ,(10) 
Depósitos de exigibilidad inmediata ,0.10 ,0.02 ,0.02 ,0 ,(8) 
Depósitos a plazo ,0.95 ,0.17 ,0.07 ,(10) ,(88) 
Préstamos interbancarios y de otros organismos ,1.84 ,0.38 ,0.42 ,4 ,(142) 
Call money ,0.94 ,0.00 ,0.00 ,0 ,(94) 
Préstamos de bancos comerciales ,3.62 ,0.86 ,0.86 ,0 ,(276) 
Captación total moneda extranjera ,0.15 ,0.03 ,0.03 ,o ,(12) 


