Table
Conciliación Criterios Contables entre CNBV y Normas ,Internacionales ,adoptados por el ,consolidado ,
millones de pesos ,,3M 2020 ,3M 2021 ,Var. Anual (%) 
Utilidad Grupo Financiero BBVA Bancomer S.A. de C.V. ,Criterios CNBV ,"8,620 ","11,087 ",28.6 
Incorporación de resultados de subsidiarias ,,159 ,207 ,
Reservas crediticias ,,(299) ,(249) ,
Obligaciones con el personal ,,14 ,(2) ,
Reservas de seguros ,,394 ,409 ,
CVA / DVA ,,(146) ,289 ,
Arrendamiento ,,(6) ,(9) ,
Otras ,,(505) ,357 ,
Utilidad Grupo Financiero BBVA México Normas ,Internacionales ,"8,231 ","12,089 ",46.9 


Table
Grupo Financiero BBVA Bancomer S.A. de C.V. ,Total ,Banca Comercial ,Banca Corporativa y Gobierno ,Operaciones de Tesorería ,Sector Seguros y Previsión ,Otros Segmento S 
Ingresos totales de la operación Marzo 2021 Millones de pesos ,,,,,,
"Ingresos y gastos por intereses, neto ","34,759 ","24,303 ","7,360 ",749 ,"2,167 ",180 
Margen financiero ,"34,759 ","24,303 ","7,360 ",749 ,"2,167 ",180 
Estimación preventiva para riesgos crediticios ,"(10,450) ","(8,808) ","(1,637) ",0 ,(5) ,0 
Margen financiero ajustado por riesgos crediticios ,"24,309 ","15,495 ","5,723 ",749 ,"2,162 ",180 
"Comisiones y tarifas, neto ","6,704 ","5,048 ","2,168 ",267 ,(745) ,(34) 
Resultado por intermediación ,"1,802 ",808 ,243 ,-197 ,923 ,25 
Otros ingresos (egresos) de la operación ,(169) ,(67) ,30 ,14 ,(368) ,222 
Total de ingresos (egresos) de la operación ,"32,646 ","21,284 ","8,164 ",833 ,"1,972 ",393 
Gastos de administración y promoción ,"(17,409) ",,,,,
Resultado de la operación ,"15,237 ",,,,,
Participación en el resultado de subsidiarias no consolidadas y asociadas ,133 ,,,,,
Resultados antes de impuestos a la utilidad ,"15,370 ",,,,,
Impuestos a la utilidad causados ,"(3,514) ",,,,,
Impuestos a la utilidad diferidos (netos) ,(769) ,,,,,
Resultados antes de participación no controladora ,"11,087 ",,,,,
Operaciones discontinuadas ,0 ,,,,,
Participación no controladora ,0 ,,,,,
Resultado Neto ,"11,087 ",,,,,


