Table
Coeficiente de Cobertura de Liquidez ,1T ,2021* 
Millones de pesos ,Importe sin Ponderar (promedio) ,Importe Ponderado (promedio) 
ACTIVOS LÍQUIDOS COMPUTABLES ,,
1 Total de Activos Líquidos Computables ,No Aplica ,"444,312 "
SALIDAS DE EFECTIVO ,,
2 Financiamiento Minorista No Garantizado ,"777,982 ","47,595 "
3 Financiamiento Estable ,"604,062 ","30,203 "
4 Financiamiento menos Estable ,"173,920 ","17,392 "
5 Financiamiento Mayorista No Garantizado ,"497,518 ","167,619 "
6 Depósitos Operacionales ,"272,823 ","65,792 "
7 Depósitos No Operacionales ,"214,302 ","91,434 "
8 Deuda No Garantizada ,"10,392 ","10,392 "
9 Financiamiento Mayorista Garantizado ,"295,323 ",803 
10 Requerimientos Adicionales ,"609,024 ","57,330 "
Salidas relacionadas a instrumentos financieros derivados y otros requerimientos de 11 garantías ,"30,087 ","21,438 "
12 Salidas relacionadas a pérdidas del financiamiento de Instrumentos de deuda ,0 ,0 
13 Líneas de Crédito y Liquidez ,"578,937 ","35,892 "
14 Otras Obligaciones de Financiamiento Contractuales ,"87,848 ","9,919 "
15 Otras Obligaciones de Financiamiento Contingentes ,0 ,O 
16 TOTAL DE SALIDAS DE EFECTIVO ,No Aplica ,"283,265 "
ENTRADAS DE EFECTIVO ,,
17 Entradas de Efectivo por Operaciones Garantizadas ,"47,925 ",0 
18 Entradas de Efectivo por Operaciones No Garantizadas ,"99,666 ","58,881 "
19 Otras entradas de Efectivo ,"5,308 ","5,308 "
20 TOTAL DE ENTRADAS DE EFECTIVO ,"152,899 ","64,189 "
21 TOTAL DE ACTIVOS LÍQUIDOS COMPUTABLES ,No Aplica ,"444,312 "
22 TOTAL NETO DE SALIDAS DE EFECTIVO ,No Aplica ,"219,076 "
23 COEFICIENTE DE COBERTURA DE LIQUIDEZ ,No Aplica ,203.12% 


