Table
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer ",Cartera comercial y entidades financieras ,Cartera hipotecaria ,Cartera de consumo ,Total 
Movimientos de la Cartera Vencida Millones de pesos ,,,,
Saldo Final (Diciembre 2020) ,"11,983 ","9,354 ","16,147 ","37,484 "
Entradas: ,"2,054 ","2,362 ","9,418 ","13,834 "
Traspaso de vigente y reestructurados ,"2,054 ","2,362 ","9,418 ","13,834 "
Salidas: ,"(1,906) ","(2,481) ","(13,951) ","(18,338) "
Traspasos a vigente ,(312) ,"(1,729) ","(1,218) ","(3,259) "
Liquidaciones en efectivo ,(265) ,(142) ,(928) ,"(1,335) "
Reestructurados (Liquidaciones en efectivo) ,(164) ,(14) ,(29) ,(207) 
Dación y/o adjudicación ,(118) ,(18) ,O ,(136) 
Quitas ,(349) ,(48) ,(744) ,"(1,141) "
Castigos ,(698) ,(530) ,"(11,032) ","(12,260) "
Saldo Final (Marzo 2021) ,"12,131 ","9,235 ","11,614 ","32,980 "


