Table
Concepto (Millones de pesos) ,1 día ,7 días ,1 mes ,3 meses ,6 meses ,12 meses 
Brecha Natural ,"(85,529) ","46,942 ","(29,386) ","1,863 ","13,910 ","24,669 "
Brecha Acumulada ,"(85,529) ","(38,587) ","(67,973) ","(66,110) ","(52,200) ","(27,532) "


Table
Salidas de Efectivo por Derivados (Millones de pesos) ,2T20 ,3T20 ,Var vs. 2T20 
Salida neta a valor de mercado y por exposición potencial ,"5,343 ","5,343 ",0.0% 
Salidas de Efectivo por Baja de 3 escalafones en calificación crediticia ,0 ,0 ,0.0% 


Table
Concepto (Millones de pesos) ,2T20 ,3T20 ,Var vs. 2T20 
Brecha Acumulada a un mes ,"(48,308) ","(67,973) ",40.7% 
Activos Líquidos ,"50,894 ","90,038 ",76.9% 


