Table
Cartera de ,Consumo Revolvente ,bajo Modelo ,Interno ,Avanzado ,,,Millones de pesos 
Grado de Riesgo* ,Saldo Contable ,Exposición al Incumplimiento (EI) ** ,Severidad de la Pérdida ,PI ponderada por El ,Compromisos No Dispuestos ,El media ponderada por posición ,El Vigente 
A1 ,"15,038 ","27,752 ",87.30% ,1.09% ,"53,037 ",46% ,"27,752 "
A2 ,"4,732 ","8,210 ",87.30% ,3.48% ,"8,558 ",42% ,"8,210 "
B1 ,"4,364 ","5,691 ",87.30% ,5.01% ,"1,368 ",23% ,"5,691 "
B2 ,414 ,752 ,87.30% ,5.01% ,"1,207 ",45% ,752 
B3 ,"2,000 ","2,638 ",87.30% ,8.26% ,717 ,24% ,"2,627 "
C1 ,"5,198 ","6,578 ",87.30% ,9.35% ,"1,238 ",21% ,"6,545 "
C2 ,"4,189 ","5,166 ",87.30% ,17.15% ,632 ,19% ,"5,047 "
D ,"3,278 ","3,666 ",87.30% ,47.70% ,449 ,11% ,"1,506 "
E ,619 ,625 ,89.00% ,98.03% ,236 ,1% ,10 
Cartera Total ,"39,831 ","61,078 ",87.49% ,8.17% ,"67,443 ",35% ,"58,140 "


