Table
,Bancoy ,Sofomes 
Componentes del CCL (Millones de pesos) ,Importe Sin Ponderar (Promedio) ,Importe Ponderado (Promedio) 
ACTIVOS LÍQUIDOS COMPUTABLES ,,
1 Total de Activos Líquidos Computables ,No aplica ,"105,198 "
SALIDAS DE EFECTIVO ,,
2 Financiamiento minorista no garantizado ,"423,083 ","28,935 "
3 Financiamiento estable ,"267,461 ","13,373 "
4 Financiamiento menos estable ,"155,622 ","15,562 "
5 Financiamiento mayorista no garantizado ,"269,710 ","72,997 "
6 Depósitos operacionales ,"233,787 ","53,388 "
7 Depósitos no operacionales ,"34,833 ","18,519 "
8 Deuda no garantizada ,"1,090 ","1,090 "
9 Financiamiento mayorista garantizado ,"255,023 ","20,535 "
10 Requerimientos adicionales: ,"335,541 ","24,315 "
11 Salidas relacionadas a instrumentos financieros derivados y otros requerimientos de garantías ,"61,910 ","9,070 "
12 Salidas relacionadas a pérdidas del financiamiento de instrumentos de deuda ,0 ,0 
13 Líneas de crédito y liquidez ,"273,631 ","15,246 "
14 Otras obligaciones de financiamiento contractuales ,832 ,86 
15 Otras obligaciones de financiamiento contingentes ,0 ,0 
16 TOTAL DE SALIDAS DE EFECTIVO ,No aplica ,"146,869 "
ENTRADAS DE EFECTIVO ,,
17 Entradas de efectivo por operaciones garantizadas ,"107,992 ","11,432 "
18 Entradas de efectivo por operaciones no garantizadas ,"96,470 ","74,630 "
19 Otras entradas de efectivo ,"5,031 ","5,031 "
20 TOTAL DE ENTRADAS DE EFECTIVO ,"209,493 ","91,093 "
,,Importe Ajustado 
21 TOTAL DE ACTIVOS LIQUIDOS COMPUTABLES ,No aplica ,"105,198 "
22 TOTAL NETO DE SALIDAS DE EFECTIVO ,No aplica ,"55,775 "
23 COEFICIENTE DE COBERTURA DE LIQUIDEZ ,No aplica ,193.57% 


