Table
Concepto (Millones de pesos) ,1 día ,7 días ,1 mes ,3 meses ,6 meses ,12 meses 
Brecha Natural ,"(73,707) ","58,131 ","(32,732) ","(12,543) ","(4,566) ","20,975 "
Brecha Acumulada ,"(73,707) ","(15,576) ","(48,308) ","(60,851) ","(65,416) ","(44,441) "


Table
Salidas de Efectivo por Derivados (Millones de pesos) ,1T20 ,2T20 ,Var vs. 1T20 
Salida neta a valor de mercado y por exposición potencial ,"4,517 ","5,343 ",18.3% 
Salidas de Efectivo por Baja de 3 escalafones en calificación crediticia ,0 ,0 ,0.0% 


Table
Concepto (Millones de pesos) ,1T20 ,2T20 ,Var vs. 1T20 
Brecha Acumulada a un mes ,"(61,440) ","(48,308) ",(21.4%) 
Activos Líquidos ,"74,116 ","50,894 ",(31.3%) 


