Table
Cartera de ,Consumo Revolvente ,bajo Modelo ,Interno ,Avanzado ,,,Millones de pesos 
Grado de Riesgo ,Saldo Contable ,Exposición al Incumplimiento (EI)* ,Severidad de la Pérdida ,PI ponderada por El ,Compromisos No Dispuestos ,El media ponderada por posición ,El Vigente 
A1 ,"14,715 ","27,410 ",87.30% ,1.10% ,"53,313 ",46% ,"27,410 "
A2 ,"4,765 ","7,945 ",87.30% ,3.37% ,"8,141 ",40% ,"7,945 "
B1 ,"4,536 ","5,939 ",87.30% ,4.97% ,"1,466 ",24% ,"5,939 "
B2 ,438 ,793 ,87.30% ,5.01% ,"1,187 ",45% ,793 
B3 ,"2,321 ","3,048 ",87.30% ,8.27% ,792 ,24% ,"3,036 "
C1 ,"5,074 ","6,481 ",87.30% ,9.32% ,"1,318 ",22% ,"6,453 "
C2 ,"3,909 ","4,869 ",87.30% ,16.97% ,720 ,20% ,"4,768 "
D ,"2,637 ","2,964 ",87.30% ,47.59% ,476 ,11% ,"1,403 "
E ,"1,208 ","1,217 ",88.80% ,98.78% ,265 ,1% ,14 
Cartera Total ,"39,604 ","60,666 ",87.46% ,8.74% ,"67,679 ",34% ,"57,762 "


