Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. ",Cartera comercial y entidades financieras ,Cartera hipotecaria ,Cartera de consumo ,Total 
Movimientos de la Cartera Vencida Millones de pesos ,,,,
Saldo Final (Diciembre 2019) ,"9,518 ","7,597 ","10,340 ","27,455 "
Entradas: ,"4,224 ","3,218 ","16,634 ","24,076 "
Traspaso de vigente ,"3,851 ","3,217 ","16,070 ","23,138 "
Reestructurados ,373 ,1 ,564 ,938 
Salidas: ,"F (3,499) ","(4,358) ","(18,657) ","(26,514) "
Traspasos a vigente ,(365) ,"(2,075) ","(1,605) ","(4,045) "
Liquidaciones en efectivo ,(872) ,(816) ,"(2,118) ","(3,806) "
Reestructurados (Liquidaciones en efectivo) ,(118) ,(334) ,(256) ,(708) 
Dación y/o adjudicación ,(62) ,(72) ,(3) ,(137) 
Quitas ,(383) ,(127) ,(759) ,"(1,269) "
Castigos ,"(1,699) ",(934) ,"(13,916) ","(16,549) "
Saldo Final (Junio 2020) ,"10,243 ","6,457 ","8,317 ","25,017 "


