Table
Coeficiente de Cobertura de Liquidez ,2T ,2020* 
Millones de pesos ,Importe sin Ponderar (promedio) ,Importe Ponderado (promedio) 
ACTIVOS LÍQUIDOS COMPUTABLES ,,
1 Total de Activos Líquidos Computables ,No Aplica ,"365,715 "
SALIDAS DE EFECTIVO ,,
2 Financiamiento Minorista No Garantizado ,"687,617 ","41,279 "
3 Financiamiento Estable ,"549,651 ","27,483 "
4 Financiamiento menos Estable ,"137,966 ","13,797 "
5 Financiamiento Mayorista No Garantizado ,"548,705 ","189,987 "
6 Depósitos Operacionales ,"272,601 ","65,767 "
7 Depósitos No Operacionales ,"266,129 ","114,245 "
8 Deuda No Garantizada ,"9,975 ","9,975 "
9 Financiamiento Mayorista Garantizado ,No Aplica ,928 
10 Requerimientos Adicionales ,"664,745 ","54,211 "
11 Salidas relacionadas a instrumentos financieros derivados y otros requerimientos de garantías ,"81,941 ","20,071 "
12 Salidas relacionadas a pérdidas del financiamiento de Instrumentos de deuda ,O ,O 
13 Líneas de Crédito y Liquidez ,"582,804 ","34,140 "
14 Otras Obligaciones de Financiamiento Contractuales ,"89,213 ","9,320 "
15 Otras Obligaciones de Financiamiento Contingentes ,O ,O 
16 TOTAL DE SALIDAS DE EFECTIVO ,No Aplica ,"295,725 "
ENTRADAS DE EFECTIVO ,,
17 Entradas de Efectivo por Operaciones Garantizadas ,"43,427 ",O 
18 Entradas de Efectivo por Operaciones No Garantizadas ,"100,317 ","57,857 "
19 Otras entradas de Efectivo ,"7,508 ","7,508 "
20 TOTAL DE ENTRADAS DE EFECTIVO ,"151,251 ","65,365 "
21 TOTAL DE ACTIVOS LÍQUIDOS COMPUTABLES ,No Aplica ,"365,715 "
22 TOTAL NETO DE SALIDAS DE EFECTIVO ,No Aplica ,"230,361 "
23 COEFICIENTE DE COBERTURA DE LIQUIDEZ ,No Aplica ,159.07% 


