Table
"Grupo Financiero BBVA Bancomer, Cartera de crédito vigente Millones de pesos ",S.A. de C.V. 6M 2019 ,3M 2020 ,6M 2020 ,% Var Trim ,Var Anual 
Actividad Empresarial ,"509,557 ","593,575 ","570,758 ",(3.8) ,12.0 
Entidades Financieras ,"25,275 ","34,830 ","28,600 ",(17.9) ,13.2 
Prestamos al Gobierno ,"76,897 ","99,428 ","93,771 ",(5.7) ,21.9 
Paraestatales ,"53,460 ","59,080 ","55,969 ",(5.3) ,4.7 
Entidades Gubernamentales ,"130,357 ","152,287 ","149,740 ",(1.7) ,14.9 
Créditos Comerciales ,"665,189 ","780,692 ","749,098 ",(4.0) ,12.6 
Créditos de Consumo ,"288,667 ","298,906 ","289,983 ",(3.0) ,0.5 
Créditos a la Vivienda ,"221,360 ","234,434 ","242,366 ",3.4 ,9.5 
Crédito Vigente Total ,"1,175,216 ","1,314,032 ","1,281,447 ",(2.5) ,9.0 


