Table
"Grupo Financiero BBVA Bancomer, S.A. Intermediación Millones de pesos ",de C.V. 2T 2019 ,1T 2020 ,2T 2020 ,% Var Trim ,Var Anual ,6M 2019 ,6M 2020 ,% Var Anual 
Renta variable ,(72) ,(76) ,49 ,n.a. ,n.a. ,158 ,(27) ,n.a. 
Renta fija directo y en reporto ,"1,322 ","(2,881) ","2,983 ",n.a. ,125.6 ,"(1,812) ",102 ,n.a. 
Inversiones en valores ,"1,250 ","(2,957) ","3,032 ",n.a. ,142.6 ,"(1,654) ",75 ,n.a. 
Divisas ,"2,109 ","(9,022) ",3 ,(100.0) ,(99.9) ,"1,145 ","(9,019) ",n.a. 
Instrumentos financieros derivados ,"(4,686) ","(5,444) ","8,859 ",n.a. ,n.a. ,"(4,131) ","3,415 ",n.a. 
Resultado por valuación ,"(1,327) ","(17,423) ","11,894 ",(168.3) ,n.a. ,"(4,640) ","(5,529) ",19.2 
Renta variable ,(70) ,"(3,042) ",964 ,(131.7) ,n.a. ,(6) ,"(2,078) ",n.a. 
Renta fija directo y en reporto ,124 ,"4,314 ",408 ,(90.5) ,229.0 ,"5,397 ","4,722 ",(12.5) 
Inversiones en valores ,54 ,"1,272 ","1,372 ",7.9 ,n.a. ,"5,391 ","2,644 ",(51.0) 
Divisas ,"1,393 ","1,457 ","1,597 ",9.6 ,14.6 ,"2,788 ","3,054 ",9.5 
Instrumentos financieros derivados ,"2,862 ","17,594 ","(10,309) ",(158.6) ,n.a. ,"2,693 ","7,285 ",170.5 
Resultado por compra-venta ,"4,309 ","20,323 ","(7,340) ",(136.1) ,n.a. ,"10,872 ","12,983 ",19.4 
Resultado por intermediación ,"2,982 ","2,900 ","4,554 ",57.0 ,52.7 ,"6,232 ","7,454 ",19.6 


Table
"Grupo Financiero BBVA Bancomer, S.A. ",de C.V. ,,,% ,,,,% 
Otros Ingresos Millones de pesos ,2T 2019 ,1T 2020 ,2T 2020 ,Var Trim ,Var Anual ,6M 2019 ,6M 2020 ,Var Anual 
Bancos Corresponsales ,0 ,25 ,32 ,26.9 ,n.a. ,O ,57 ,n.a. 
Venta recuperación de cartera ,117 ,19 ,24 ,22.0 ,(79.7) ,147 ,43 ,(70.6) 
Intereses préstamos de empleados ,189 ,204 ,203 ,(0.3) ,7.6 ,375 ,407 ,8.6 
Recuperación por pagos de garantias ,O ,100 ,45 ,(55.2) ,n.a. ,0 ,145 ,n.a. 
Resultado operación adjudicados ,127 ,184 ,171 ,(7.2) ,34.6 ,295 ,355 ,20.4 
Quebrantos ,(289) ,(164) ,(122) ,(25.6) ,(57.7) ,(588) ,(287) ,(51.3) 
Contingencias legales y laborales ,(129) ,(137) ,(57) ,(58.3) ,(55.8) ,(229) ,(194) ,(15.3) 
Plan indemnizaciones y jubilaciones ,O ,(208) ,(15) ,(92.9) ,n.a. ,O ,(223) ,n.a. 
Donativos ,(247) ,(255) ,(273) ,7.0 ,10.4 ,(459) ,(528) ,15.0 
Contingencias fiscales ,0 ,O ,(637) ,n.a. ,n.a. ,0 ,(637) ,n.a. 
Dividendos cobrados de asociadas ,109 ,O ,137 ,n.a. ,25.7 ,109 ,137 ,25.7 
Otros ,66 ,(39) ,(140) ,259.0 ,(312.1) ,232 ,(178) ,(176.7) 
Otros Ingresos (egresos) de la Operación ,(57) ,(270) ,(631) ,133.7 ,n.a. ,(118) ,(901) ,n.a. 


