Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Margen Financiero Millones de pesos ",2T 2019 ,1T 2020 ,2T 2020 ,% Var Trim ,Var Anual ,6M 2019 ,6M 2020 ,% Var Anual 
Ingresos por intereses ,"51,514 ","53,779 ","43,045 ",(20.0) ,(16.4) ,"101,669 ","96,824 ",(4.8) 
Gastos por intereses ,"(18,350) ","(17,546) ","(15,153) ",(13.6) ,(17.4) ,"(35,059) ","(32,699) ",(6.7) 
"Comisiones de margen, neto ",509 ,523 ,481 ,(8.0) ,(5.5) ,"1,012 ","1,004 ",(0.8) 
"Ingreso por primas y reservas, neto ",541 ,(321) ,716 ,(323.1) ,32.3 ,247 ,395 ,59.9 
Margen financiero ,"34,214 ","36,435 ","29,089 ",(20.2) ,(15.0) ,"67,869 ","65,524 ",(3.5) 
Estimación preventiva para riesgos crediticios ,"(9,249) ","(16,237) ","(7,613) ",(53.1) ,(17.7) ,"(16,908) ","(23,850) ",41.1 
Margen financiero ajustado por riesgos crediticios ,"24,965 ","20,198 ","21,476 ",6.3 ,(14.0) ,"50,961 ","41,674 ",(18.2) 


Table
Grupo Financiero BBVA ,"Bancomer, ",S.A. de ,C.V. ,% ,,,,% 
Comisiones y Tarifas Cifras enmillonesde pesos ,2T 2019 ,1T 2020 ,2T 2020 ,Var Trim ,Var Anual ,6M 2019 ,6M 2020 ,Var Anual 
Comisiones bancarias ,"1,744 ","1,724 ","1,509 ",(12.5) ,(13.5) ,"3,457 ","3,233 ",(6.5) 
Tarjeta de Crédito y débito ,"3,822 ","3,679 ","2,804 ",(23.8) ,(26.6) ,"7,604 ","6,483 ",(14.7) 
Fondos de inversión ,"1,089 ","1,224 ","1,275 ",4.2 ,17.1 ,"2,131 ","2,499 ",17.3 
Otros ,115 ,(115) ,(56) ,(51.3) ,(148.7) ,26 ,(171) ,n.a. 
Comisiones y tarifas neto ,"6,770 ","6,512 ","5,532 ",(15.0) ,(18.3) ,"13,218 ","12,044 ",(8.9) 


