Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Estado de Resultados Consolidado Millones de pesos ",2T 2019 ,3T 2019 ,4T 2019 ,1T 2020 ,2T 2020 ,6M 2019 ,6M 2020 
Ingresos por intereses ,"52,023 ","53,920 ","53,982 ","54,302 ","43,526 ","102,681 ","97,828 "
Ingresos por primas (neto) ,"5,498 ","5,085 ","6,492 ","7,155 ","5,043 ","11,479 ","12,198 "
Gastos por intereses ,"(18,350) ","(19,525) ","(17,083) ","(17,546) ","(15,153) ","(35,059) ","(32,699) "
Incremento neto de reservas técnicas ,119 ,"1,269 ",(114) ,238 ,"1,859 ",(822) ,"2,097 "
"Siniestralidad, reclamaciones y otras obligaciones contractuales (net ","(5,076) ","(7,363) ","(7,538) ","(7,714) ","(6,186) ","(10,410) ","(13,900) "
Margen financiero ,"34,214 ","33,386 ","35,739 ","36,435 ","29,089 ","67,869 ","65,524 "
Estimación preventiva para riesgos crediticios ,"(9,249) ","(9,443) ","(9,365) ","(16,237) ","(7,613) ","(16,908) ","(23,850) "
Margen financiero ajustado por riesgos crediticios ,"24,965 ","23,943 ","26,374 ","20,198 ","21,476 ","50,961 ","41,674 "
Ingreso no financiero ,"9,752 ","10,999 ","9,977 ","9,412 ","10,086 ","19,450 ","19,498 "
Comisiones y tarifas cobradas ,"11,223 ","11,513 ","12,252 ","11,142 ","9,116 ","21,762 ","20,258 "
Comisiones y tarifas pagadas ,"(4,453) ","(4,635) ","(5,032) ","(4,630) ","(3,584) ","(8,544) ","(8,214) "
"Comisiones y tarifas, neto ","6,770 ","6,878 ","7,220 ","6,512 ","5,532 ","13,218 ","12,044 "
Resultado por intermediación ,"2,982 ","4,121 ","2,757 ","2,900 ","4,554 ","6,232 ","7,454 "
Otros ingresos (egresos) de la operación ,(57) ,394 ,867 ,(270) ,(631) ,(118) ,(901) 
Total de ingresos (egresos) de la operación ,"34,660 ","35,336 ","37,218 ","29,340 ","30,931 ","70,293 ","60,271 "
Gastos de administración y promoción ,"(15,964) ","(16,242) ","(16,982) ","(16,683) ","(16,237) ","(31,615) ","(32,920) "
Resultado de la operación ,"18,696 ","19,094 ","20,236 ","12,657 ","14,694 ","38,678 ","27,351 "
Participación en el resultado de subsidiarias no consolidadas y asocia ,30 ,10 ,4 ,28 ,1 ,39 ,29 
Resultado antes de impuestos a la utilidad ,"18,726 ","19,104 ","20,240 ","12,685 ","14,695 ","38,717 ","27,380 "
Impuestos a la utilidad causados ,"(7,197) ","(4,937) ","(8,216) ","(6,282) ",(701) ,"(12,777) ","(6,983) "
Impuestos a la utilidad diferidos (netos) ,"2,050 ",(9) ,"2,962 ","2,215 ","(2,803) ","1,919 ",(588) 
Impuestos netos ,"(5,147) ","(4,946) ","(5,254) ","(4,067) ","(3,504) ","(10,858) ","(7,571) "
Resultado antes de participación no controladora ,"13,579 ","14,158 ","14,986 ","8,618 ","11,191 ","27,859 ","19,809 "
Participación no controladora ,1 ,(1) ,(4) ,2 ,(2) ,3 ,0 
Resultado neto ,"13,580 ","14,157 ","14,982 ","8,620 ","11,189 ","27,862 ","19,809 "


