Table
"Grupo Financiero BBVA Bancomer, S.A. ",de C.V. - ,BBVA México ,,% ,
Cartera de crédito vencida Cifras en millones de pesos ,6M 2019 ,3M 2020 ,6M 2020 ,Var Trim ,Var Anual 
Actividad Empresarial ,"8,926 ","10,082 ","10,243 ",1.6 ,14.8 
Entidades Financieras ,O ,O ,O ,O ,O 
Entidades Gubernamentales ,O ,O ,O ,O ,O 
Créditos Comerciales ,"8,926 ","10,082 ","10,243 ",1.6 ,14.8 
Créditos de Consumo ,"9,385 ","10,843 ","8,317 ",(23.3) ,(11.4) 
Créditos a la Vivienda ,"6,291 ","8,191 ","6,457 ",(21.2) ,2.6 
Crédito Vencido Total ,"24,602 ","29,116 ","25,017 ",(14.1) ,1.7 


