Table
"Grupo Financiero BBVA Bancomer, S.A. de Estado de resultados Millones de pesos ",C.V. 2T 2019 ,1T 2020 ,2T 2020 ,% Var Trim ,Var Anual ,6M 2019 ,6M 2020 ,% Var Anual 
Margen financiero ,"34,214 ","36,435 ","29,089 ",(20.2) ,(15.0) ,"67,869 ","65,524 ",(3.5) 
Estimación preventiva para riesgos crediticios ,"(9,249) ","(16,237) ","(7,613) ",(53.1) ,(17.7) ,"(16,908) ","(23,850) ",41.1 
Margen financiero ajustado por riesgos crediticios ,"24,965 ","20,198 ","21,476 ",6.3 ,(14.0) ,"50,961 ","41,674 ",(18.2) 
"Comisiones y tarifas, neto ","6,770 ","6,512 ","5,532 ",(15.0) ,(18.3) ,"13,218 ","12,044 ",(8.9) 
Resultado por intermediación ,"2,982 ","2,900 ","4,554 ",57.0 ,52.7 ,"6,232 ","7,454 ",19.6 
Otros ingresos (egresos) de la operación ,(57) ,(270) ,(631) ,133.7 ,"1,007.0 ",(118) ,(901) ,663.6 
Total de ingresos (egresos) de la operación ,"34,660 ","29,340 ","30,931 ",5.4 ,(10.8) ,"70,293 ","60,271 ",(14.3) 
Gastos de administración y promoción ,"(15,964) ","(16,683) ","(16,237) ",(2.7) ,1.7 ,"(31,615) ","(32,920) ",4.1 
Resultado de la operación ,"18,696 ","12,657 ","14,694 ",16.1 ,(21.4) ,"38,678 ","27,351 ",(29.3) 
Resultado antes de impuestos a la utilidad ,"18,726 ","12,685 ","14,695 ",15.8 ,(21.5) ,"38,717 ","27,380 ",(29.3) 
Resultado neto ,"13,580 ","8,620 ","11,189 ",29.8 ,(17.6) ,"27,862 ","19,809 ",(28.9) 


