Table
Información previa al cierre Rubro Millones de pesos ,de junio A la vista ,2020 (cifras 30 días ,puntuales) 6 meses ,1 año ,Mayor 1 año ,Sin Vencimiento ,Total 
Disponible ,"149,409 ",O ,O ,O ,"31,282 ",0 ,"180,691 "
Cartera de Crédito ,O ,"89,131 ","203,106 ","102,891 ","881,716 ",O ,"1,276,844 "
Cartera de Valores ,O ,"1,301 ","17,584 ","123,326 ","373,710 ",0 ,"515,921 "
ACTIVOS TOTALES ,"149,409 ","90,432 ","220,690 ","226,217 ","1,286,708 ",o ,"1,973,456 "
Captación ,O ,"182,563 ","69,553 ","3,030 ",O ,"1,016,775 ","1,271,921 "
Emisiones y Obligac. Sub. ,O ,"6,367 ","31,849 ","29,701 ","148,819 ",0 ,"216,736 "
Acreedores por Reportos ,O ,"188,168 ",32786 ,O ,O ,0 ,"220,954 "
Neto resto de Balance ,O ,O ,O ,O ,O ,"263,844 ","263,844 "
PASIVOS TOTALES ,o ,"377,099 ","134,188 ","32,730 ","148,819 ","1,280,620 ","1,973,456 "
FUERA DE BALANCE ,O ,"(2,365) ",-6833 ,"(7,442) ","4,036 ",0 ,"(12,605) "
BRECHAS DE LIQUIDEZ ,"149,409 ","(289,031) ","79,668 ","186,044 ","1,141,924 ","(1,280,620) ","(12,605) "
BRECHAS ACUMULADAS ,"149,409 ","(139,622) ","(59,954) ","126,090 ","1,268,015 ","(12,605) ",


